age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
46,8,False,True,0,0,0,1,HOH,3
73,8,False,True,0,0,0,1,H,5
58,8,False,True,0,0,0,1,HWH,3
62,11,True,True,0,0,0,1,H,3
56,11,False,True,0,0,0,1,HWH,5
48,10,False,True,0,0,0,1,H,5
54,10,True,True,0,0,0,1,H,1
38,11,True,True,0,0,0,1,HWH,4
78,7,True,False,1,0,0,0,HWH,6
31,10,False,True,0,0,0,1,HWH,5
30,10,True,True,0,0,0,1,HWH,6
49,8,True,True,1,0,0,0,HOH,4
47,8,True,True,1,0,0,0,HOH,7
55,11,True,True,0,0,0,1,H,7
55,11,False,True,0,0,0,1,HOH,4
20,11,True,False,0,0,0,1,H,1
58,7,True,False,0,0,1,0,HOH,2
60,6,False,False,0,0,0,1,HOH,7
62,6,True,False,0,0,1,0,HWH,3
65,8,True,True,0,0,0,1,HWH,5
64,8,False,False,1,0,0,0,HWH,6
67,9,True,True,0,0,0,1,HOH,7
63,10,True,True,0,0,0,1,HOWOH,6
56,10,False,True,0,0,0,1,HWH,4
31,6,False,True,0,0,0,1,HWH,4
30,6,True,True,0,0,0,1,H,3
32,8,False,True,0,1,0,0,HWH,3
37,8,True,False,0,0,1,0,HWH,6
69,7,True,False,0,0,0,1,HOH,0
33,11,False,True,0,0,0,1,HWH,5
34,11,True,False,1,0,0,0,HOH,3
52,7,True,False,0,0,0,1,HWH,3
39,6,True,True,1,0,0,0,HWOH,7
26,7,True,True,0,0,0,1,HOH,4
73,11,True,True,0,0,0,1,H,1
73,11,False,True,0,0,0,1,HOH,4
44,9,False,True,0,0,0,1,H,0
49,9,True,True,0,0,0,1,HWH,0
37,10,False,True,0,0,0,1,HWH,1
31,10,True,True,0,0,0,1,HOH,6
51,11,True,True,0,0,0,1,HWH,3
60,3,False,True,0,0,0,1,HWH,4
53,8,False,False,1,0,0,0,HWH,4
48,8,True,False,0,0,0,1,HOH,4
19,8,True,False,1,0,0,0,HOH,7
26,7,False,True,1,0,0,0,H,6
