aNode_bNode,aNodeLat,aNodeLon,aNodes,active_net,bNodeLat,bNodeLon,bNodes,cycle_speed_m_s,distance,drive_net,drive_speed,drive_speed_m_s,name,oneway,osmid,ref,speed,type,walk_speed_m_s,cycle_time_minutes,walk_time_minutes,drive_time_minutes
6293,42.3304055,-83.0609242,5831059942,True,42.3303442,-83.0610710,5917196119,4.167,13.859484745748501,True,25.0,11.25,[],[],616820820,[],[],service,1.11,0.055433504302649796,0.2081003715577853,0.020532569993701486
6294,42.3281284,-83.0610073,5831137564,True,42.3282072,-83.0610284,5831137536,4.167,8.932196521699682,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.03572592801255772,0.1341170648903856,0.01323288373585138
6295,42.3281178,-83.0610044,5831137537,True,42.3281284,-83.0610073,5831137564,4.167,1.2025340130653834,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.004809751272159762,0.018056066262242994,0.0017815318712079756
6296,42.3280871,-83.0609809,5831137538,True,42.3281178,-83.0610044,5831137537,4.167,3.92240947771253,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.015688382840222902,0.05889503720289083,0.0058109770040185625
6297,42.3280597,-83.0609597,5831137539,True,42.3280871,-83.0609809,5831137538,4.167,3.5099727454295384,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.014038767880287732,0.052702293474917984,0.005199959622858575
6298,42.3280310,-83.0609000,5831137540,True,42.3280597,-83.0609597,5831137539,4.167,5.854075857775291,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.02341443027667903,0.08789903690353289,0.008672704974481912
6299,42.3280742,-83.0609043,5831137541,True,42.3280310,-83.0609000,5831137540,4.167,4.816609497157233,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.019264896796885183,0.07232146392127976,0.0071357177735662716
6300,42.3281094,-83.0609288,5831137542,True,42.3280742,-83.0609043,5831137541,4.167,4.401853452019381,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.017606005327651313,0.06609389567596667,0.006521264373362046
6301,42.3281350,-83.0609508,5831137543,True,42.3281094,-83.0609288,5831137542,4.167,3.3725215872028507,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.013489007228233145,0.05063846227031307,0.004996328277337556
6302,42.3281459,-83.0609625,5831137563,True,42.3281350,-83.0609508,5831137543,4.167,1.5472857197529735,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.0061886477871889185,0.023232518314609207,0.0022922751403747755
6303,42.3282072,-83.0610284,5831137536,True,42.3281459,-83.0609625,5831137563,4.167,8.706865207948857,True,25.0,11.25,[],yes,616822473,[],[],service,1.11,0.034824674857806805,0.13073371183106391,0.012899059567331641
6304,42.3274733,-83.0603895,5831137545,True,42.3274065,-83.0603681,5831137544,4.167,7.633311475923394,True,25.0,11.25,[],yes,616822474,[],[],service,1.11,0.030530803439418424,0.11461428642527617,0.011308609593960583
6305,42.3275154,-83.0604225,5831137546,True,42.3274733,-83.0603895,5831137545,4.167,5.410557856828944,True,25.0,11.25,[],yes,616822474,[],[],service,1.11,0.021640500187300793,0.08123960745989404,0.008015641269376213
6306,42.3275405,-83.0604362,5831137547,True,42.3275154,-83.0604225,5831137546,4.167,3.0096603413016974,True,25.0,11.25,[],yes,616822474,[],[],service,1.11,0.012037678350938715,0.04519009521474019,0.0044587560611877
6307,42.3275630,-83.0604416,5831137548,True,42.3275405,-83.0604362,5831137547,4.167,2.540963778354215,True,25.0,11.25,[],yes,616822474,[],[],service,1.11,0.010163042070051255,0.03815260928459782,0.003764390782746985
6308,42.3275802,-83.0604344,5831137549,True,42.3275630,-83.0604416,5831137548,4.167,2.0020474420499177,True,25.0,11.25,[],yes,616822474,[],[],service,1.11,0.00800754916426653,0.030060772403151914,0.0029659962104443224
