"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"173","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",173,0,"Homemakers"
"174","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",174,0,"Homemakers"
"175","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",175,0,"Homemakers"
"176","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",176,0,"Homemakers"
"177","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","S","H","H","H","H","H","H","H","H",177,1,"9-to-5ers"
"178","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",178,0,"Homemakers"
"179","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",179,0,"Homemakers"
"180","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",180,0,"Homemakers"
"181","H","H","H","H","H","H","H","H","H","H","H","H","H","S","H","H","H","H","H","H","H","H","H","H",181,0,"Homemakers"
"182","H","H","H","H","H","H","H","H","H","H","H","H","H","S","H","H","H","H","H","H","H","H","H","H",182,0,"Homemakers"
"183","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",183,0,"Homemakers"
"184","H","H","H","H","H","H","W","W","W","W","W","W","W","P","P","H","H","H","H","H","H","H","H","H",184,1,"9-to-5ers"
"185","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","R","R","R","H","H","H","H","H","H",185,2,"Afternoon Adventurers"
"186","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",186,0,"Homemakers"
"187","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","X","H","H","H","H","H",187,1,"9-to-5ers"
"188","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H",188,1,"9-to-5ers"
"189","H","H","H","H","H","H","H","H","G","G","W","W","W","W","W","W","W","W","H","H","H","H","H","H",189,5,"Work-Life Balancers"
"190","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",190,1,"9-to-5ers"
"191","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",191,1,"9-to-5ers"
"192","H","H","H","H","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H","H","H",192,5,"Work-Life Balancers"
"193","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H","V","V","V","V","V","V","H","H",193,1,"9-to-5ers"
"194","H","H","H","H","H","H","H","H","H","H","H","S","X","X","H","H","V","V","V","V","V","V","H","H",194,4,"Socialites"
"195","H","H","H","H","H","H","H","H","H","H","H","G","S","G","E","H","H","H","H","H","H","H","H","H",195,0,"Homemakers"
"196","H","H","H","H","H","H","H","H","H","H","H","G","S","G","E","H","H","H","H","H","H","H","H","H",196,0,"Homemakers"
"197","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","D","H","H","H","H","H","H",197,1,"9-to-5ers"
